Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
74.51.5641,244520,Lampstand,Bronze lamp holder,Cypriot,Cypro-Archaic II,6th century B.C.,-599,-500,Cyprus,http://www.metmuseum.org/art/collection/search/244520
1994.57,256185,Phiale with gilt collar,Gilded silver phiale (libation bowl),Greek,Archaic,6th century B.C.,-599,-500,Greece,http://www.metmuseum.org/art/collection/search/256185
41.160.712,253835,Intaglio,Sard ring stone,Roman,Late Republican or Imperial,ca. 1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/253835
"74.51.1420a, b",240983,Pyxis,Terracotta pyxis (box),Cypriot,Cypro-Archaic,late 7th--6th century B.C.,-625,-500,Cyprus,http://www.metmuseum.org/art/collection/search/240983
7.252,247868,Statuette of a youth,Bronze statuette of a nude youth,Etruscan,Classical,5th century B.C.,-499,-400,Italy,http://www.metmuseum.org/art/collection/search/247868
"1985.228.3a, b",255845,Kylix fragments,Kylix fragments,"Greek, Attic",Classical,ca. 470 B.C.,-470,-470,Greece,http://www.metmuseum.org/art/collection/search/255845
41.162.209,254380,Oinochoe,Oinochoe,"Greek, Attic",Classical,ca. 450--425 B.C.,-450,-425,Greece,http://www.metmuseum.org/art/collection/search/254380
74.51.915,240504,Spindle whorl,Terracotta conical-hemispherical spindle-whorl with flat base and rounded top,Cypriot,Middle Cypriot I--II,ca. 1900--1725 B.C.,-1900,-1725,Cyprus,http://www.metmuseum.org/art/collection/search/240504
74.51.2476,242028,Grave relief of a boy,Limestone funerary stele of a boy,Cypriot,Early Roman (?),,-3900,100,Cyprus,http://www.metmuseum.org/art/collection/search/242028
"74.51.3278a, b",242711,Bead with female head from a necklace,Silver appliques,Cypriot,Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/242711
81.10.108,245265,Perfume bottle,Glass perfume bottle,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/245265
74.51.2310,241864,"Statuette of a temple boy, inscribed",Limestone statuette of a temple boy,Cypriot,Classical,late 5th or early 4th century B.C.,-425,-350,Cyprus,http://www.metmuseum.org/art/collection/search/241864
26.31.419,252342,Pendant,Gold pendant on chain,Minoan,Early MInoan II--III,ca. 2300--2100 B.C.,-2999,-2000,Crete,http://www.metmuseum.org/art/collection/search/252342
97.22.7,246685,Helmet Attachment; Head of Acheloos,Bronze helmet attachment,Etruscan,Late Classical,late 6th century B.C.,-575,-500,Italy,http://www.metmuseum.org/art/collection/search/246685
96.9.37,246137,Kylix,Terracotta kylix (drinking cup),"Greek, Attic",Classical,ca. 480--470 B.C.,-480,-470,Greece,http://www.metmuseum.org/art/collection/search/246137
10.130.1400,248229,Cameo,Glass cameo with portrait head of Alexander the Great,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/248229
59.209.40,324985,Cylinder seal,Cylinder seal,Babylonian,Old Babylonian,ca. 19th--16th century B.C.,-1900,-1500,Mesopotamia,http://www.metmuseum.org/art/collection/search/324985
56.81.51,324536,Cuneiform tablet,Cuneiform tablet impressed with cylinder seal: record of irrigation work,Neo-Sumerian,Ur III,ca. 2042 B.C.,-2042,-2042,Mesopotamia,http://www.metmuseum.org/art/collection/search/324536
74.51.5178,244058,Foot with sandal-left-votive,Limestone votive (?) foot with a sandal,"Greek or Roman, Cypriot",Late Hellenistic or Early Imperial,ca. 50 B.C.--A.D. 50,-50,50,Greece,http://www.metmuseum.org/art/collection/search/244058
74.51.848,240436,Jug,Jug,Cypriot,Cypro-Geometric III,850--750 B.C.,-850,-750,Cyprus,http://www.metmuseum.org/art/collection/search/240436
09.221.21,248158,Kylix,Bronze kylix (cup),Etruscan,Late Geometric,7th century B.C.,-699,-600,Italy,http://www.metmuseum.org/art/collection/search/248158
74.51.3135,242569,Earring with head of bull,Gold pendant in the form of a bull's head,Cypriot,Late Bronze Age,ca. 1400--1050 B.C.,-1400,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242569
17.194.647,249880,Head pendant,Glass head pendant,Phoenician or Carthaginian,Archaic or Classical,6th--5th century B.C.,-600,-400,Tunisia,http://www.metmuseum.org/art/collection/search/249880
05.44.800,247165,Tetradrachm,Silver tetradrachm of Antiochos VIII Grypos,"Greek, Seleucid",Hellenistic,125--96 B.C.,-125,-96,Syria,http://www.metmuseum.org/art/collection/search/247165
74.51.3632,256860,Pendant in the form of a vase,Gold pendant in the form of a vase,Greek or Cypriot,Classical,5th--4th century B.C.,-499,-300,Greece,http://www.metmuseum.org/art/collection/search/256860
55.65.4,324421,Cylinder seal,"Cylinder seal and modern impression: bull-man, bearded hero, and lion contest frieze",Sumerian,Early Dynastic III,ca. 2600--2350 B.C.,-2600,-2350,Mesopotamia,http://www.metmuseum.org/art/collection/search/324421
"43.11.8a, b",254506,"Earring, baule type","Earring, baule type",Etruscan,Classical,5th century B.C.,-499,-400,Italy,http://www.metmuseum.org/art/collection/search/254506
26.31.525,252444,Vase fragment,Terracotta rim and upper body fragment with concentric circles (or spiral?) and bands,Minoan,Late Minoan III,ca. 1400--1200 B.C.,-1400,-1200,Crete,http://www.metmuseum.org/art/collection/search/252444
74.51.1155,240742,Jug,Jug,Cypriot,Bronze Age,ca. 3200--1050 B.C.,-3200,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240742
91.1.1769,257156,"Fragment, striped mosaic",Glass striped mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257156
11.186.21,248522,Vase fragment,Terracotta vessel fragment with incised lines and punctations,Cretan,Late Neolithic,ca. 3600--3100 B.C.,-3600,-3100,Crete,http://www.metmuseum.org/art/collection/search/248522
06.1021.245,247407,Loutrophoros,Terracotta loutrophoros (ceremonial vase for water),"Greek, South Italian, Apulian, Canosan",Early Hellenistic,late 4th--early 3rd century B.C.,-330,-275,Italy,http://www.metmuseum.org/art/collection/search/247407
74.51.101,239686,Perfume bottle,Glass perfume bottle,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/239686
06.1021.99,247265,"Amphora, Type B",Terracotta amphora (jar),"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/247265
06.1021.14,247187,"Pyxis, stemmed",Terracotta stemmed pyxis (box for cosmetics or toliet articles),"Greek, Corinthian",Middle Corinthian,ca. 590--570 B.C.,-590,-570,Greece,http://www.metmuseum.org/art/collection/search/247187
91.1.1411,245795,Jug,Glass jug,Roman,Late Imperial,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/245795
58.31.25,324762,Cylinder seal,Cylinder seal,Akkadian,Akkadian,ca. 2350--2150 B.C.,-2350,-2150,Mesopotamia,http://www.metmuseum.org/art/collection/search/324762
98.11.103,246845,"Earring, crescent-shaped","Earring, crescent-shaped",Greek,Hellenistic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/246845
74.51.192,239777,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/239777
23.184,251447,Calyx-krater,Marble calyx-krater with reliefs of maidens and dancing maenads,Roman,Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/251447
81.10.121,245278,Jar,Glass jar,Roman,Late Imperial,ca. 4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/245278
91.1.1248,245637,Bowl,Glass bowl,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-50,50,Italy,http://www.metmuseum.org/art/collection/search/245637
17.194.259,249502,"Bottle, gold-band mosaic",Glass gold-band mosaic bottle,Roman,"Early Imperial, Julio-Claudian",1st half of 1st century A.D.,1,68,Italy,http://www.metmuseum.org/art/collection/search/249502
81.10.319,245469,Alabastron,Glass alabastron (perfume bottle),"Greek, Eastern Mediterranean",Classical,late 6th--5th century B.C.,-550,-400,Greece,http://www.metmuseum.org/art/collection/search/245469
74.51.3561,242998,Bracelet,Gold lion's head bracelet with copper-alloy core,"Greek, Cypriot",Classical,ca. 450--400 B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/242998
17.194.396.226,257841,Mosaic glass fragment,Mosaic glass bowl fragment,"Greek, Eastern Mediterranean",Hellenistic,2nd--mid-1st century B.C.,-200,-50,Greece,http://www.metmuseum.org/art/collection/search/257841
03.23.23,247043,Lid of a vessel,Bronze lid,Etruscan,Archaic,ca. 550--525 B.C.,-550,-525,Italy,http://www.metmuseum.org/art/collection/search/247043
81.10.8,245165,Jar,Glass cinerary urn (olla),Roman,Imperial,mid-1st--mid 2nd century A.D.,50,150,Italy,http://www.metmuseum.org/art/collection/search/245165
74.51.882,240471,Juglet,Juglet,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240471
41.160.413,253647,Head of a woman with necklaces,Standing female figure,Cypriot,Cypro-Archaic II,ca. 600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/253647
1999.325.33,327629,Cylinder seal,Cylinder seal,Babylonian,Old Babylonian,ca. early 2nd millennium B.C.,-2000,-1000,Mesopotamia,http://www.metmuseum.org/art/collection/search/327629
41.160.534,253757,Scarab,Black jasper scarab,Etruscan,Classical,5th--4th century B.C.,-499,-300,Italy,http://www.metmuseum.org/art/collection/search/253757
74.51.53,239638,"Perfume bottle, carinated",Glass perfume bottle,Roman,Early Imperial,mid--1st century A.D.,25,75,Italy,http://www.metmuseum.org/art/collection/search/239638
X.304.12,328760,Cylinder seal,Cylinder seal,Akkadian,Akkadian,ca. 2350--2150 B.C.,-2350,-2150,Mesopotamia,http://www.metmuseum.org/art/collection/search/328760
"17.194.238a, b",249482,Pyxis with lid,Glass pyxis with lid,Roman,Early Imperial,1st half of 1st century A.D.,1,50,Italy,http://www.metmuseum.org/art/collection/search/249482
91.1.1886,257279,"Fragment, mosaic",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257279
09.221.19,248156,Horse tail,Bronze tail of a horse,Roman,Imperial,1st or 2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/248156
1999.325.4,327600,Cylinder seal,Cylinder seal and modern impression:  bull-man combatting lion; nude hero combatting water buffalo; inscription,Akkadian,Akkadian,ca. 2250--2150 B.C.,-2250,-2150,Mesopotamia,http://www.metmuseum.org/art/collection/search/327600
26.199.72,252642,Tile with palmette,Fragment of a terracotta architectural tile,Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/252642
48.178.2,324054,Bowl,Bowl,Akkadian,Akkadian,ca. 2217--2193 B.C.,-2217,-2193,Mesopotamia or southwestern Iran,http://www.metmuseum.org/art/collection/search/324054
26.199.148,252716,Vase fragment,Vase fragment,"East Greek/Sardis, Lydian",Geometric,ca. 800--700 B.C.,-799,-700,Turkey,http://www.metmuseum.org/art/collection/search/252716
17.230.41,250574,"Cup, one-handled","Cup, one-handled",East Greek,Late Classical,4th century B.C.,-399,-300,Turkey,http://www.metmuseum.org/art/collection/search/250574
74.51.1535,241091,"Figurine of a woman, plank-shaped",Terracotta plank-shaped figurine,Cypriot,Middle Cypriot I,ca. 1900--1800 B.C.,-1900,-1800,Cyprus,http://www.metmuseum.org/art/collection/search/241091
19.192.7,250741,Statuette of standing draped girl,Terracotta statuette of a standing girl,"Greek, probably Boeotian",Hellenistic,early 3rd century B.C.,-299,-275,Greece,http://www.metmuseum.org/art/collection/search/250741
74.51.3854,243272,Earrings,Gold and pearl earring (one of a pair),"Roman, Cypriot",Late Imperial,3rd century A.D.,200,299,Cyprus,http://www.metmuseum.org/art/collection/search/243272
75.4.11,244836,Vase,Vase,Etruscan,Archaic,ca. 575--525 B.C.,-580,-520,Italy,http://www.metmuseum.org/art/collection/search/244836
1988.233.2,255902,Kylix fragment,Kylix fragment,"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/255902
1993.133,256168,Handle of a hydria,Vertical handle of a bronze hydria (water jar),Greek,Classical,mid-5th century B.C.,-475,-425,Greece,http://www.metmuseum.org/art/collection/search/256168
41.160.488,253716,Ring with scarab,Carnelian scarab in silver ring,Graeco-Phoenician,Archaic,early 5th century B.C.,-499,-475,Iran,http://www.metmuseum.org/art/collection/search/253716
74.51.1064,240651,Juglet,Terracotta juglet,Cypriot,Late Cypriot I-IIIA,ca. 1600--1150 B.C.,-1600,-1150,Cyprus,http://www.metmuseum.org/art/collection/search/240651
74.51.2227,241780,Lamp,Lamp,"Roman, Cypriot",Late Antique,5th century A.D.,400,499,Cyprus,http://www.metmuseum.org/art/collection/search/241780
1977.187.6,255590,Horse bit,Bronze horse bit,Late Villanovan,Late Geometric,ca. 725--700 B.C.,-725,-700,Italy,http://www.metmuseum.org/art/collection/search/255590
74.51.3030,242463,Roundel,Gold roundel of bulbous form,Cypriot,Late Bronze Age,ca. 1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242463
06.1021.45,247217,Oinochoe in the form of a woman's head,Oinochoe in the form of a woman's head,"Greek or Etruscan, South Italian (Campanian)",Late Archaic,early 5th century B.C.,-499,-475,Greece,http://www.metmuseum.org/art/collection/search/247217
50.11.4,254649,Column-krater,Terracotta column-krater (bowl for mixing wine and water),"Greek, South Italian, Apulian",Late Classical,ca. 360--350 B.C.,-360,-350,Italy,http://www.metmuseum.org/art/collection/search/254649
81.6.166,245037,Intaglio,Sard ring stone,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/245037
07.286.1,247881,Statuette of standing draped woman,Terracotta statuette of a standing woman,"Greek, probably Attic",Hellenistic,late 4th--early 3rd century B.C.,-324,-275,Greece,http://www.metmuseum.org/art/collection/search/247881
59.209.7,324952,Cylinder seal,Cylinder seal,Babylonian,Old Babylonian,ca. 19th--16th century B.C.,-1900,-1500,Mesopotamia,http://www.metmuseum.org/art/collection/search/324952
74.51.345,239930,Bracelet,Glass bracelet with impressed decoration,Roman,Late Imperial,late 4th--5th century A.D.,350,499,Italy,http://www.metmuseum.org/art/collection/search/239930
57.12.12,254950,Lekythos,Lekythos,"Greek, Attic",Late Archaic,1st quarter of 5th century B.C.,-500,-475,Greece,http://www.metmuseum.org/art/collection/search/254950
15.43.209,248970,Flask,Glass flask,Roman,Late Imperial,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/248970
81.10.328,245478,"Bottle, gold-band mosaic",Glass gold-band mosaic bottle,Roman,"Early Imperial, Julio-Claudian",1st half of 1st century A.D.,1,68,Italy,http://www.metmuseum.org/art/collection/search/245478
74.51.3370,242803,Earring,Gold and copper alloy spiral earring with lion-griffin head terminal,"Greek, Cypriot",Classical,1st half of the 4th century B.C.,-399,-350,Greece,http://www.metmuseum.org/art/collection/search/242803
"1973.96.2a--c, e",255508,Kylix fragments,Kylix fragments,"Greek, Attic",Archaic,ca. 515 B.C.,-515,-515,Greece,http://www.metmuseum.org/art/collection/search/255508
59.64,255056,Neck-amphora,Terracotta neck-amphora (jar),"Greek, Attic",Archaic,ca. 570--560 B.C.,-570,-560,Greece,http://www.metmuseum.org/art/collection/search/255056
74.51.2542,242093,Statue of a votary,Limestone statuette of a recumbent votary (worshipper),Cypriot,Archaic,6th century B.C.,-599,-500,Cyprus,http://www.metmuseum.org/art/collection/search/242093
X.21.170,256713,"Bottle, two-handled",Glass two-handled bottle,Roman,Late Imperial,4th--5th century A.D.,300,499,Italy,http://www.metmuseum.org/art/collection/search/256713
91.1.1279,245667,"Bowl, Rippenschale",Glass ribbed bowl,Roman,Early Imperial,mid-1st century A.D.,25,75,Italy,http://www.metmuseum.org/art/collection/search/245667
74.51.221,239806,Cup,Glass cup with indented sides,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/239806
74.51.2774,242325,"Statue of a votary, male",Limestone statuette of a boy as a votary,Cypriot,Hellenistic,ca. 3rd--1st century B.C.,-300,-1,Cyprus,http://www.metmuseum.org/art/collection/search/242325
26.199.171,252738,Vase fragment,Vase fragment,"East Greek/Sardis, Lydian",Geometric,,-1050,-700,Turkey,http://www.metmuseum.org/art/collection/search/252738
57.27.11,324605,Sculpture,Head of mushhushshu,Assyrian,Neo-Assyrian,ca. 9th century B.C.,-900,-800,Mesopotamia,http://www.metmuseum.org/art/collection/search/324605
41.162.52,254219,"Panathenaic amphora, miniature",Terracotta miniature Panathenaic amphora,"Greek, Attic",Classical,ca. 400 B.C.,-400,-400,Greece,http://www.metmuseum.org/art/collection/search/254219
41.160.456,253685,Ring,Ring,Greek,Late Classical or Hellenistic,4th--1st century B.C.,-399,-1,Greece,http://www.metmuseum.org/art/collection/search/253685
86.11.326,321950,Cuneiform tablet,Cuneiform tablet: fragment of a dialogue document concerning a dowry conversion,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 7th--4th century B.C.,-700,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/321950
